"characters_id","characters_name","characters_images","characters_jutsu","characters_personal","characters_uniqueTraits","characters_natureType","characters_rank","characters_tools","characters_debut_novel","characters_debut_movie","characters_debut_appearsIn","characters_debut_manga","characters_debut_anime","characters_debut_game","characters_debut_ova","characters_family_incarnation-with-the-god-tree","characters_family_depowered-form","characters_family_son","characters_family_nephew","characters_family_adoptive-son","characters_family_father","characters_family_adoptive-brother","characters_family_cousin","characters_family_adoptive-father","characters_family_brother","characters_family_husband","characters_family_father","characters_family_grandniece","characters_family_grandmother","characters_family_grandfather","characters_family_mother","characters_family_granduncle","characters_family_daughter","characters_family_wife","characters_family_uncle","characters_family_granddaughter","characters_family_fiancée","characters_family_owner","characters_family_sister","characters_family_ex-husband","characters_family_younger-cousin","characters_family_uncle","characters_family_adoptive-cousin","characters_family_grandson","characters_family_younger-brother","characters_family_creator","characters_family_sibling","characters_family_unknown-kinship","characters_family_genetic-source","characters_family_creator/father","characters_family_original-form","characters_family_adoptive-daughter","characters_family_grandnephew","characters_family_adoptive-mother","characters_family_adoptive-sister","characters_family_fiancé","characters_family_lover","characters_family_twin-brother","characters_family_older-brother","characters_family_mother","characters_family_niece","characters_family_adoptive-nephew","characters_family_wife","characters_family_adoptive-grandson","characters_family_first-cousin-once-removed","characters_family_stepfather","characters_family_granddaughter","characters_family_grandson","characters_family_great-great-granddaughter","characters_family_great-great-grandson","characters_family_creation","characters_family_grandmother","characters_family_oldest-brother","characters_family_host","characters_family_clone","characters_family_godson","characters_family_son","characters_family_brother","characters_family_step-son","characters_family_pet","characters_family_genetic-template","characters_family_daughter","characters_family_adoptive-grandfather","characters_family_adoptive-aunt","characters_family_great-great-grandfather","characters_family_great-great-grandfather","characters_family_genetic-template/parent","characters_family_clone/brother","characters_family_altered-clone","characters_family_pet","characters_family_younger-brother","characters_family_unknown-kinship","characters_family_granduncle","characters_family_great-grandfather","characters_family_creation/clone","characters_family_creation","characters_family_clone/son","characters_family_grandfather","characters_family_creations","characters_family_vessel","characters_family_lover","characters_family_foster-son","characters_family_foster-father","characters_family_youngest-brother","characters_family_creation/clone-daughter","characters_family_spouse","characters_family_great-granddaughter","characters_family_great-grandson","characters_family_younger-relative","characters_family_adoptive-grandmother","characters_family_adoptive-granduncle","characters_family_adoptive-uncle","characters_family_distant-relative","characters_family_ex-wife","characters_family_descendant","characters_family_ancestor","characters_family_adoptive-nephews","characters_family_aunt","characters_family_godfather","characters_family_genetic-donor","characters_family_chakra-donor","characters_family_adoptive-sons","characters_family_adoptive-grandsons","characters_family_great-nephew","characters_family_adoptive-great-nephew","characters_voiceActors_japanese","characters_voiceActors_english","currentPage","pageSize","totalCharacters"
239,"Kōtarō Fūma","https://static.wikia.nocookie.net/naruto/images/c/c0/Kotaro.png","","Male; list(Gaiden = ""178cm""); Captain of the Konoha Military Police Force; Konohagakure; Konoha Military Police Force; Fūma   (Presumed); 風魔コウタロウFūmaKōtarō","Male; list(Gaiden = ""178cm""); Captain of the Konoha Military Police Force; Konohagakure; Konoha Military Police Force; Fūma   (Presumed); 風魔コウタロウFūmaKōtarō","","list(Gaiden = ""Tokubetsu Jōnin"")","Fūma Shuriken; Tantō",NA,NA,"Anime",NA,"Boruto Episode #42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anri Katsu","Eric Saleh",1,1431,1431
240,"Funamushi","https://static.wikia.nocookie.net/naruto/images/7/77/Funamushi.png","Summoning Technique (Leech); Water Release: Blood Conversion Technique; Water Release: Furious Roaring Tornado; Water Release: Imminent Danger; Water Release: Jadeite; Water Release: Raging Jellyfish; Water Release: Water Formation Wall; Water Release: Water Spikes","Male; Deceased; Pirate; Land of Water; Funato","Male; Deceased; Pirate; Land of Water; Funato","Water Release","","Sword; Tantō",NA,NA,"Anime",NA,"Boruto Episode #240",NA,NA,NA,NA,"Kobuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Takahiro Fujiwara","",1,1431,1431
241,"Funari","https://static.wikia.nocookie.net/naruto/images/8/85/Funari.png","","Male; list(`Part II` = ""30""); Guard","Male; list(`Part II` = ""30""); Guard","","","Sword",NA,NA,"Anime, Manga","Naruto Chapter #355","Naruto Shippūden Episode #122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Toshiharu Nakanishi","Derek Stephen Prince",1,1431,1431
242,"Araumi Funato","https://static.wikia.nocookie.net/naruto/images/c/c2/Araumi_Funato.png","Water Release: Blood Conversion Technique","Male; c(""Head of the Funato Clan"", ""Pirate""); Land of Water; Funato","Male; c(""Head of the Funato Clan"", ""Pirate""); Land of Water; Funato","Water Release","","Chakra Cannon; Marlin Harpoon; Spear",NA,NA,"Anime",NA,"Boruto Episode #233",NA,NA,NA,NA,"Isari Funato",NA,"Tenma Funato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seiren Funato","Minamo Funato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shigeru Chiba","",1,1431,1431
243,"Ikada Funato","https://static.wikia.nocookie.net/naruto/images/7/79/Ikada_Funato.png","","Male; c(""Shipbuilding apprentice"", ""Pirate  (Former)""); Land of Water; Funato","Male; c(""Shipbuilding apprentice"", ""Pirate  (Former)""); Land of Water; Funato","Water Release","","",NA,NA,"Anime",NA,"Boruto Episode #239",NA,NA,NA,NA,NA,NA,NA,"Araumi Funato","Tenma Funato",NA,NA,"Isari Funato",NA,NA,NA,NA,NA,"Minamo Funato",NA,NA,NA,NA,NA,NA,NA,"Seiren Funato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yusuke Shirai; Juri Nagatsuma   (Child)","",1,1431,1431
244,"Isari Funato","https://static.wikia.nocookie.net/naruto/images/c/c5/Isari_Funato.png","Water Prison Technique; Water Release: Exploding Water Colliding Wave","Male; Deceased; Pirate; Land of Water; Funato","Male; Deceased; Pirate; Land of Water; Funato","Water Release","","Marlin Harpoon",NA,NA,"Anime",NA,"Boruto Episode #233",NA,NA,NA,NA,NA,NA,NA,"Araumi Funato","Tenma Funato",NA,NA,"Ikada Funato",NA,NA,NA,NA,NA,"Minamo Funato",NA,NA,NA,NA,NA,NA,NA,"Seiren Funato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yoshihisa Kawahara","",1,1431,1431
245,"Minamo Funato","https://static.wikia.nocookie.net/naruto/images/2/24/Minamo.png","","Female; Deceased; Pirate; Land of Water; Funato","Female; Deceased; Pirate; Land of Water; Funato","","","",NA,NA,"Anime",NA,"Boruto Episode #250",NA,NA,NA,NA,"Isari Funato",NA,NA,NA,NA,NA,NA,NA,"Araumi Funato",NA,NA,NA,NA,NA,NA,"Seiren Funato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shōko Yuzuki","",1,1431,1431
246,"Seiren Funato","https://static.wikia.nocookie.net/naruto/images/4/4e/Seiren_Funato.png","Echolocation Technique; Hiding in Black Fog Technique","Female; Deceased; Pirate; Land of Water; Funato","Female; Deceased; Pirate; Land of Water; Funato","","","Ray Bow; Sword",NA,NA,"Anime",NA,"Boruto Episode #239",NA,NA,NA,NA,NA,NA,NA,"Araumi Funato","Tenma Funato",NA,NA,"Isari Funato",NA,NA,NA,NA,NA,"Minamo Funato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Megumi Han","",1,1431,1431
247,"Tenma Funato","https://static.wikia.nocookie.net/naruto/images/4/4f/Tenma.png","Single Claw Bisection; Summoning: Fiddler Crab; Water Release: Water Scales","Male; Deceased; Pirate; Land of Water; Funato; 舟戸テンマFunatoTenma","Male; Deceased; Pirate; Land of Water; Funato; 舟戸テンマFunatoTenma","Water Release","","Chakra Cannon",NA,NA,"Anime",NA,"Boruto Episode #236",NA,NA,NA,NA,NA,NA,NA,NA,"Isari Funato",NA,"Araumi Funato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seiren Funato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tomohiro Tsuboi; Sara Matsumoto   (Child)","",1,1431,1431
248,"Fundaru","https://static.wikia.nocookie.net/naruto/images/e/e3/Fundaru.png","","Male; Land of Redaku","Male; Land of Redaku","","","","Sasuke Retsuden: The Uchiha Descendants and the Heavenly Stardust",NA,"Anime, Manga, Novel","Sasuke Retsuden Chapter #5","Boruto Episode #284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shinnosuke Tachibana","",1,1431,1431
249,"Daikoku Funeno","https://static.wikia.nocookie.net/naruto/images/7/75/Daikoku_Funeno.png","","Male; list(`Part I` = ""35""); Academy Teacher; Konohagakure; ふねのダイコクFunenoDaikoku","Male; list(`Part I` = ""35""); Academy Teacher; Konohagakure; ふねのダイコクFunenoDaikoku","","list(`Part I` = ""Chūnin"")","",NA,NA,"Anime, Manga","Naruto Chapter #221","Naruto Episode #129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masato Funaki; Dōzaka Kōzō  (Shippūden episode 176); Ryūichi Kijima   (Shippūden episode 452)","Robbie Rist",1,1431,1431
250,"Furofuki","https://static.wikia.nocookie.net/naruto/images/4/4f/Furofoki.png","","Female; Medical-nin; Herbologist; Konohagakure","Female; Medical-nin; Herbologist; Konohagakure","","","",NA,NA,"Anime",NA,"Naruto Shippūden Episode #186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ikuko Watanabe","Colleen Villard",1,1431,1431
251,"Furui","https://static.wikia.nocookie.net/naruto/images/9/96/Furui.png","","Male; list(`Part II` = ""35""); Deceased; Kumogakure; Eight-Tails Subduing Team","Male; list(`Part II` = ""35""); Deceased; Kumogakure; Eight-Tails Subduing Team","Lightning Release  (Anime only)","list(`Part II` = ""Jōnin"")","Kusari",NA,NA,"Anime, Manga","Naruto Chapter #494","Naruto Shippūden Episode #244",NA,NA,NA,NA,"Motoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shinobu Matsumoto","Wally Wingert",1,1431,1431
252,"Fusō","https://static.wikia.nocookie.net/naruto/images/0/03/Fus%C5%8D.png","","Female; list(`Part II` = ""28""); Deceased; list(`Part II` = ""169cm""); Nurse; Amegakure; Uzumaki","Female; list(`Part II` = ""28""); Deceased; list(`Part II` = ""169cm""); Nurse; Amegakure; Uzumaki","","","",NA,NA,"Anime, Manga, Game","Naruto Chapter #444","Naruto Shippūden Episode #172","Naruto Shippūden: Ultimate Ninja Impact",NA,NA,NA,"Nagato",NA,NA,NA,NA,NA,NA,NA,"Ise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Toa Yukinari","Stephanie Sheh",1,1431,1431
253,"Futaba","https://static.wikia.nocookie.net/naruto/images/4/44/Futaba.png","","Female; list(`Part I` = ""9""); Konohagakure","Female; list(`Part I` = ""9""); Konohagakure","","list(`Part I` = ""Academy Student"")","",NA,NA,"Anime, Manga","Naruto Chapter #94","Naruto Episode #56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yūko Gotō","Kate Higgins   (Episode 56); Colleen O'Shaughnessey   (Episode 158)",1,1431,1431
254,"Tsubute Futaba","https://static.wikia.nocookie.net/naruto/images/0/03/Tsubute.png","","Male; Iwagakure","Male; Iwagakure","","list(`Part II` = ""Genin"")","",NA,NA,"Anime",NA,NA,NA,"Chūnin Exam on Fire! Naruto vs. Konohamaru!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1,1431,1431
255,"Futami","https://static.wikia.nocookie.net/naruto/images/e/e6/Older_Futami.png","Chakra Transfer Technique","Male; Deceased; c(""Thief  (Former)"", ""Ninshū Follower""); Land of Ancestors","Male; Deceased; c(""Thief  (Former)"", ""Ninshū Follower""); Land of Ancestors","","","",NA,NA,"Anime",NA,"Naruto Shippūden Episode #464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kenji Nojima","Lucien Dodge",1,1431,1431
256,"Futsu","https://static.wikia.nocookie.net/naruto/images/d/d6/Futsu.png","Boil Release: Skilled Mist Technique","Male; Boil Release; c(""Kumogakure  (Anime only)"", ""Konohagakure  (Novel only)"")","Male; Boil Release; c(""Kumogakure  (Anime only)"", ""Konohagakure  (Novel only)"")","Boil Release; Fire Release; Water Release","","","Sasuke Shinden: Book of Sunrise",NA,"Anime, Novel",NA,"Naruto Shippūden Episode #485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kengo Kawanishi","Richard Cansino",1,1431,1431
257,"Fuyō","https://static.wikia.nocookie.net/naruto/images/0/0e/Fuyou.png","Senbon Shower; Sensing Technique","Female; list(`Part I` = ""147cm""); Sensor Type; Amegakure; Team Ajisai","Female; list(`Part I` = ""147cm""); Sensor Type; Amegakure; Team Ajisai","","list(`Part I` = ""Genin"", `Part II` = ""Chūnin"")","Senbon; Umbrella",NA,NA,"Anime",NA,"Naruto Shippūden Episode #395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yurika Aizawa","Abby Trott",1,1431,1431
258,"Mizore Fuyukuma","https://static.wikia.nocookie.net/naruto/images/3/34/Mizore_Fuyukuma.png","Explosion: Ice Mountain Destruction; Roaring Run: Great Strength Ice Strike","Male; Deceased; Yukigakure; Dotō's Three-Man-Team","Male; Deceased; Yukigakure; Dotō's Three-Man-Team","","","Chakra Armour; Retractable Cable Arm; Snowboard","Naruto the Movie: Ninja Clash in the Land of Snow (novel)","Naruto the Movie: Ninja Clash in the Land of Snow","Novel, Game, Movie",NA,NA,"Naruto: Ultimate Ninja 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holly Kaneko","Kyle Hebert",1,1431,1431
